AIRLINE,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,DIVERTED
WN,LAS,1615,1758,103,11,1809,255,NA,2039,235,6,1
US,CLT,1115,1112,-3,14,1126,93,76,449,1242,2,0
AA,DFW,1300,1258,-2,14,1312,125,90,641,1342,13,0
WN,ATL,845,922,37,9,931,75,NA,270,1214,5,1
WN,LAS,730,722,-8,11,733,65,45,223,818,3,0
WN,BNA,1805,1826,21,8,1834,90,69,395,1943,7,0
US,PHL,650,640,-10,19,659,325,327,2075,1026,5,0
OO,IAH,1427,1436,9,19,1455,172,NA,913,NA,NA,1
B6,BOS,715,724,9,12,736,245,195,1693,1151,2,0
UA,DEN,2000,2021,21,71,2132,139,106,888,18,4,0
EV,CRP,1410,1736,206,9,1745,32,NA,107,NA,NA,1
WN,DEN,1715,1731,16,28,1759,160,122,967,1901,7,0
OO,CIU,640,637,-3,19,656,84,45,284,741,6,0
WN,MDW,930,926,-4,9,935,125,NA,691,1340,3,1
OO,MKE,745,742,-3,15,757,176,NA,984,1456,9,1
B6,JAX,1725,1708,-17,20,1728,146,137,1010,1945,5,0
EV,EWR,1931,2052,81,18,2110,212,NA,1215,32,4,1
DL,JFK,1523,1516,-7,20,1536,190,138,944,1754,31,0
WN,PHX,1940,1954,14,12,2006,120,106,651,2052,5,0
EV,MCI,550,548,-2,15,603,135,110,643,753,13,0
WN,BUF,1000,957,-3,12,1009,160,139,1011,1228,6,0
NK,SJU,1515,1500,-15,11,1511,191,164,1189,1655,12,0
AA,LAX,1500,1500,0,11,1511,245,205,1744,2036,11,0
EV,IAH,1125,1122,-3,24,1146,138,NA,744,1615,15,1
OO,IAH,1840,1940,60,11,1951,210,176,1334,2047,3,0
OO,SLC,1504,1500,-4,18,1518,125,89,618,1547,5,0
UA,SFO,1938,1936,-2,17,1953,107,82,550,2115,4,0
AS,SEA,1955,1949,-6,10,1959,160,134,1050,2213,3,0
AA,ORD,1515,1511,-4,10,1521,105,75,612,1736,7,0
EV,HPN,1230,1240,10,12,1252,147,121,780,1453,9,0
DL,AUS,1405,1353,-12,16,1409,180,136,1086,1525,10,0
WN,SMF,1555,1553,-2,8,1601,70,52,358,1653,2,0
EV,IAH,1125,1206,41,11,1217,75,NA,295,NA,NA,1
MQ,ORD,2156,2200,4,14,2214,123,116,693,10,7,0
OO,LAX,1816,1840,24,22,1902,128,NA,737,NA,NA,1
OO,SLC,1110,1108,-2,33,1141,75,NA,222,1349,4,1
AA,DFW,1705,2013,188,11,2024,135,113,929,2317,5,0
OO,DEN,1715,1744,29,25,1809,113,NA,524,2202,4,1
EV,MHT,600,555,-5,16,611,173,153,843,744,5,0
OO,DEN,1531,1635,64,28,1703,140,92,776,1735,5,0
AA,DFW,1305,1754,289,21,1815,515,499,3784,2234,6,0
DL,OMA,645,637,-8,27,704,144,NA,821,1447,4,1
WN,MSY,1915,1911,-4,8,1919,175,NA,1062,2313,9,1
WN,LAS,2050,2121,31,16,2137,65,38,236,2215,8,0
EV,EWR,1749,1750,1,16,1806,71,47,199,1853,5,0
WN,BWI,2025,2032,7,12,2044,155,129,925,2253,5,0
F9,PHF,1840,1830,-10,11,1841,255,NA,1533,2224,7,1
US,MSY,1145,1142,-3,31,1213,156,129,1089,1522,11,0
B6,BWI,804,752,-12,14,806,81,61,369,907,4,0
DL,ATL,1000,1000,0,18,1018,120,85,581,1143,5,0
AA,DCA,955,955,0,9,1004,130,111,612,1055,6,0
VX,JFK,700,655,-5,18,713,385,360,2475,1013,14,0
VX,LAX,1340,1335,-5,7,1342,320,279,2475,2121,12,0
AA,DCA,1959,1955,-4,12,2007,161,130,919,2217,5,0
DL,MSY,1000,954,-6,14,1008,82,55,425,1203,5,0
US,FLL,1120,1114,-6,13,1127,119,97,631,1304,9,0
UA,SJU,1731,1730,-1,20,1750,245,225,1571,2035,8,0
UA,IAH,1306,1306,0,15,1321,70,43,305,1404,3,0
AA,OMA,1100,1058,-2,12,1110,120,NA,583,1826,12,1
EV,DEN,1122,1120,-2,14,1134,56,NA,152,1630,5,1
EV,ORD,1010,1008,-2,20,1028,78,46,296,1214,5,0
WN,SNA,1545,1632,47,14,1646,70,55,338,1841,5,0
F9,DEN,805,841,36,9,850,144,114,862,944,14,0
UA,SAN,1317,1504,107,15,1519,288,NA,2253,115,4,1
OO,SFO,2229,2232,3,29,2301,90,64,451,5,4,0
US,MSY,715,715,0,12,727,112,78,651,945,33,0
UA,FLL,1301,1313,12,15,1328,185,156,1065,1604,9,0
F9,CLE,1445,1444,-1,10,1454,275,266,1737,1720,10,0
UA,LAS,1554,1548,-6,15,1603,114,100,628,1843,14,0
UA,SFO,1957,2003,6,12,2015,132,104,679,2159,6,0
AA,DEN,1735,1850,75,52,1942,115,95,641,2217,12,0
OO,TUS,1754,1840,46,10,1850,120,89,639,2019,14,0
US,PHL,1620,1617,-3,44,1701,336,NA,2176,2100,7,1
WN,SJC,1510,1543,33,6,1549,105,87,621,1816,5,0
AA,ORD,1720,1719,-1,11,1730,260,222,1726,1912,4,0
OO,LAX,1615,1633,18,33,1706,54,32,110,1738,4,0
EV,IAH,902,859,-3,33,932,75,NA,295,1314,5,1
